Model,DPO2024B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.02,
Sample Interval,1.6e-06,
Filter Frequency,2e+08,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
5.38126e-01,0.04,-3.8147e-08
5.38128e-01,0.04,0.06
5.38130e-01,0.04,-3.8147e-08
5.38131e-01,0.04,0.06
5.38133e-01,0.02,-3.8147e-08
5.38134e-01,0.04,0.06
5.38136e-01,0.04,-3.8147e-08
5.38138e-01,0.02,0.08
5.38139e-01,0.04,-3.8147e-08
5.38141e-01,0.04,0.06
5.38142e-01,0.02,-3.8147e-08
5.38144e-01,0.04,0.06
5.38146e-01,0.04,-3.8147e-08
5.38147e-01,0.04,0.06
5.38149e-01,0.04,-3.8147e-08
5.38150e-01,0.04,0.06
5.38152e-01,0.02,-3.8147e-08
5.38154e-01,0.04,0.06
5.38155e-01,0.04,-3.8147e-08
5.38157e-01,0.04,0.06
5.38158e-01,0.04,-3.8147e-08
5.38160e-01,0.04,0.06
5.38162e-01,0.04,-3.8147e-08
5.38163e-01,0.04,0.06
5.38165e-01,0.04,-3.8147e-08
5.38166e-01,0.02,0.06
5.38168e-01,0.02,-3.8147e-08
5.38170e-01,0.04,0.06
5.38171e-01,0.02,-3.8147e-08
5.38173e-01,0.04,0.06
5.38174e-01,0.04,-3.8147e-08
5.38176e-01,0.04,0.06
5.38178e-01,0.02,-3.8147e-08
5.38179e-01,0.02,0.06
5.38181e-01,0.04,-3.8147e-08
5.38182e-01,0.04,0.06
5.38184e-01,0.02,-3.8147e-08
5.38186e-01,0.04,0.06
5.38187e-01,0.04,-3.8147e-08
5.38189e-01,0.02,0.08
5.38190e-01,0.02,-0.02
5.38192e-01,0.02,0.08
5.38194e-01,0.04,-3.8147e-08
5.38195e-01,0.02,0.06
5.38197e-01,0.04,-3.8147e-08
