Model,DPO2024B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,1.6e-07,
Filter Frequency,2e+08,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
6.278869e-01,0.04,-3.8147e-08
6.278870e-01,0.04,0.06
6.278872e-01,0.02,-3.8147e-08
6.278874e-01,0.02,0.06
6.278875e-01,0.04,-3.8147e-08
6.278877e-01,0.04,0.06
6.278878e-01,0.04,-3.8147e-08
6.278880e-01,0.02,0.06
6.278882e-01,0.02,-3.8147e-08
6.278883e-01,0.02,0.06
6.278885e-01,0.04,-3.8147e-08
6.278886e-01,0.04,0.06
6.278888e-01,0.04,-0.02
6.278890e-01,0.04,0.08
6.278891e-01,0.02,-3.8147e-08
6.278893e-01,0.04,0.06
6.278894e-01,0.02,-3.8147e-08
6.278896e-01,0.02,0.06
6.278898e-01,0.02,-3.8147e-08
6.278899e-01,0.04,0.06
6.278901e-01,0.04,-3.8147e-08
6.278902e-01,0.04,0.06
6.278904e-01,0.04,-3.8147e-08
6.278906e-01,0.02,0.06
6.278907e-01,0.04,-3.8147e-08
6.278909e-01,0.04,0.06
6.278910e-01,0.02,-3.8147e-08
6.278912e-01,0.04,0.06
6.278914e-01,0.04,-3.8147e-08
6.278915e-01,0.02,0.06
6.278917e-01,0.04,-3.8147e-08
6.278918e-01,0.04,0.06
6.278920e-01,0.04,0.02
6.278922e-01,0.04,0.08
6.278923e-01,0.04,-3.8147e-08
6.278925e-01,0.04,0.06
6.278926e-01,0.06,0.02
6.278928e-01,0.04,0.08
6.278930e-01,0.04,-3.8147e-08
6.278931e-01,0.04,0.06
6.278933e-01,0.02,-3.8147e-08
6.278934e-01,0.04,0.06
6.278936e-01,0.04,0.02
6.278938e-01,0.02,0.06
6.278939e-01,0.06,0.02
6.278941e-01,0.04,0.06
6.278942e-01,0.02,-3.8147e-08
6.278944e-01,0.06,0.08
6.278946e-01,0.02,-3.8147e-08
6.278947e-01,0.04,0.06
6.278949e-01,0.06,-3.8147e-08
6.278950e-01,0.02,0.06
6.278952e-01,0.04,0.02
6.278954e-01,0.04,0.06
6.278955e-01,0.04,-3.8147e-08
6.278957e-01,0.04,0.08
6.278958e-01,0.04,0.02
6.278960e-01,0.04,0.06
6.278962e-01,0.04,-3.8147e-08
6.278963e-01,0.04,0.06
6.278965e-01,0.04,-3.8147e-08
6.278966e-01,0.04,0.08
6.278968e-01,0.06,-3.8147e-08
6.278970e-01,0.04,0.06
6.278971e-01,0.02,-3.8147e-08
6.278973e-01,0.04,0.06
6.278974e-01,0.06,0.02
6.278976e-01,0.04,0.06
6.278978e-01,0.04,-3.8147e-08
6.278979e-01,0.04,0.06
6.278981e-01,0.02,0.02
6.278982e-01,0.04,0.06
6.278984e-01,0.06,0.02
6.278986e-01,0.04,0.06
6.278987e-01,0.04,0.02
6.278989e-01,0.04,0.06
6.278990e-01,0.04,0.02
6.278992e-01,0.06,0.06
6.278994e-01,0.04,-3.8147e-08
6.278995e-01,0.04,0.06
6.278997e-01,0.04,0.02
6.278998e-01,0.04,0.06
6.279000e-01,0.06,-3.8147e-08
6.279002e-01,0.06,0.06
6.279003e-01,0.04,-3.8147e-08
6.279005e-01,0.02,0.06
6.279006e-01,0.02,-3.8147e-08
6.279008e-01,0.04,0.06
6.279010e-01,0.02,-3.8147e-08
