Model,DPO2024B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,1.6e-07,
Filter Frequency,2e+08,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
6.190109e-01,0.48,0.48
6.190110e-01,0.46,0.44
6.190112e-01,0.46,0.5
6.190114e-01,0.48,0.44
6.190115e-01,0.48,0.5
6.190117e-01,0.46,0.44
6.190118e-01,0.46,0.5
6.190120e-01,0.46,0.44
6.190122e-01,0.48,0.5
6.190123e-01,0.48,0.44
6.190125e-01,0.48,0.5
6.190126e-01,0.46,0.44
6.190128e-01,0.48,0.5
6.190130e-01,0.46,0.44
6.190131e-01,0.46,0.5
6.190133e-01,0.48,0.44
6.190134e-01,0.46,0.5
6.190136e-01,0.46,0.44
6.190138e-01,0.48,0.5
6.190139e-01,0.48,0.44
6.190141e-01,0.48,0.5
6.190142e-01,0.48,0.44
6.190144e-01,0.46,0.5
6.190146e-01,0.46,0.44
6.190147e-01,0.46,0.5
6.190149e-01,0.46,0.44
6.190150e-01,0.48,0.5
6.190152e-01,0.46,0.44
6.190154e-01,0.46,0.5
6.190155e-01,0.48,0.44
6.190157e-01,0.48,0.5
6.190158e-01,0.48,0.44
6.190160e-01,0.46,0.5
6.190162e-01,0.48,0.44
6.190163e-01,0.46,0.5
6.190165e-01,0.46,0.44
6.190166e-01,0.48,0.5
6.190168e-01,0.48,0.44
6.190170e-01,0.48,0.5
6.190171e-01,0.46,0.44
6.190173e-01,0.48,0.5
6.190174e-01,0.48,0.44
6.190176e-01,0.46,0.5
6.190178e-01,0.46,0.44
6.190179e-01,0.48,0.5
6.190181e-01,0.46,0.44
6.190182e-01,0.46,0.5
6.190184e-01,0.48,0.44
6.190186e-01,0.48,0.5
6.190187e-01,0.48,0.44
6.190189e-01,0.48,0.5
6.190190e-01,0.46,0.44
6.190192e-01,0.46,0.5
6.190194e-01,0.46,0.44
6.190195e-01,0.48,0.5
6.190197e-01,0.46,0.44
6.190198e-01,0.46,0.5
6.190200e-01,0.48,0.44
6.190202e-01,0.48,0.5
6.190203e-01,0.46,0.44
6.190205e-01,0.46,0.5
6.190206e-01,0.46,0.44
6.190208e-01,0.48,0.5
6.190210e-01,0.48,0.44
6.190211e-01,0.46,0.5
6.190213e-01,0.46,0.44
6.190214e-01,0.48,0.5
6.190216e-01,0.48,0.44
6.190218e-01,0.46,0.5
6.190219e-01,0.48,0.44
6.190221e-01,0.44,0.5
6.190222e-01,0.46,0.44
6.190224e-01,0.48,0.5
6.190226e-01,0.46,0.44
6.190227e-01,0.46,0.5
6.190229e-01,0.48,0.44
6.190230e-01,0.46,0.5
6.190232e-01,0.46,0.44
6.190234e-01,0.48,0.5
6.190235e-01,0.46,0.44
6.190237e-01,0.46,0.5
6.190238e-01,0.46,0.46
6.190240e-01,0.48,0.5
6.190242e-01,0.46,0.44
6.190243e-01,0.48,0.5
6.190245e-01,0.48,0.44
6.190246e-01,0.46,0.5
6.190248e-01,0.48,0.44
6.190250e-01,0.46,0.5
6.190251e-01,0.48,0.44
6.190253e-01,0.46,0.5
6.190254e-01,0.48,0.46
6.190256e-01,0.48,0.5
6.190258e-01,0.48,0.44
6.190259e-01,0.48,0.5
6.190261e-01,0.48,0.44
6.190262e-01,0.46,0.5
6.190264e-01,0.48,0.46
6.190266e-01,0.46,0.5
6.190267e-01,0.46,0.44
6.190269e-01,0.48,0.5
6.190270e-01,0.48,0.44
6.190272e-01,0.46,0.5
6.190274e-01,0.48,0.44
6.190275e-01,0.48,0.5
6.190277e-01,0.46,0.46
6.190278e-01,0.46,0.5
6.190280e-01,0.48,0.44
6.190282e-01,0.48,0.5
6.190283e-01,0.46,0.44
6.190285e-01,0.48,0.5
6.190286e-01,0.48,0.44
6.190288e-01,0.48,0.5
6.190290e-01,0.48,0.44
6.190291e-01,0.48,0.5
6.190293e-01,0.48,0.44
6.190294e-01,0.46,0.5
6.190296e-01,0.48,0.44
6.190298e-01,0.48,0.5
6.190299e-01,0.48,0.44
6.190301e-01,0.48,0.5
6.190302e-01,0.48,0.44
6.190304e-01,0.48,0.5
6.190306e-01,0.48,0.44
6.190307e-01,0.46,0.5
6.190309e-01,0.46,0.44
6.190310e-01,0.46,0.5
6.190312e-01,0.48,0.44
6.190314e-01,0.48,0.5
6.190315e-01,0.46,0.44
6.190317e-01,0.46,0.5
6.190318e-01,0.46,0.44
6.190320e-01,0.48,0.5
6.190322e-01,0.46,0.44
6.190323e-01,0.48,0.5
6.190325e-01,0.48,0.44
6.190326e-01,0.46,0.5
6.190328e-01,0.46,0.44
6.190330e-01,0.46,0.5
6.190331e-01,0.48,0.44
6.190333e-01,0.46,0.5
6.190334e-01,0.46,0.44
6.190336e-01,0.48,0.5
6.190338e-01,0.46,0.44
6.190339e-01,0.46,0.5
6.190341e-01,0.48,0.44
6.190342e-01,0.46,0.5
6.190344e-01,0.48,0.44
6.190346e-01,0.46,0.5
6.190347e-01,0.46,0.44
6.190349e-01,0.46,0.48
6.190350e-01,0.46,0.44
6.190352e-01,0.46,0.5
6.190354e-01,0.48,0.44
6.190355e-01,0.48,0.48
6.190357e-01,0.46,0.44
6.190358e-01,0.48,0.5
6.190360e-01,0.48,0.44
6.190362e-01,0.46,0.5
6.190363e-01,0.48,0.44
6.190365e-01,0.46,0.5
6.190366e-01,0.48,0.44
6.190368e-01,0.46,0.5
6.190370e-01,0.48,0.44
6.190371e-01,0.48,0.5
6.190373e-01,0.46,0.44
6.190374e-01,0.48,0.5
6.190376e-01,0.46,0.44
6.190378e-01,0.46,0.5
6.190379e-01,0.48,0.44
6.190381e-01,0.46,0.5
6.190382e-01,0.46,0.44
6.190384e-01,0.46,0.5
6.190386e-01,0.46,0.44
6.190387e-01,0.46,0.5
6.190389e-01,0.46,0.44
6.190390e-01,0.48,0.5
6.190392e-01,0.48,0.44
6.190394e-01,0.48,0.5
6.190395e-01,0.48,0.44
6.190397e-01,0.46,0.5
6.190398e-01,0.48,0.44
6.190400e-01,0.48,0.5
6.190402e-01,0.48,0.44
6.190403e-01,0.48,0.5
6.190405e-01,0.48,0.44
6.190406e-01,0.46,0.5
6.190408e-01,0.48,0.44
6.190410e-01,0.48,0.5
6.190411e-01,0.46,0.44
6.190413e-01,0.46,0.5
6.190414e-01,0.48,0.44
6.190416e-01,0.48,0.5
6.190418e-01,0.46,0.44
6.190419e-01,0.44,0.5
6.190421e-01,0.48,0.44
6.190422e-01,0.46,0.5
6.190424e-01,0.46,0.44
6.190426e-01,0.46,0.5
6.190427e-01,0.48,0.44
6.190429e-01,0.48,0.5
6.190430e-01,0.46,0.44
6.190432e-01,0.48,0.5
6.190434e-01,0.46,0.44
6.190435e-01,0.46,0.5
6.190437e-01,0.48,0.44
6.190438e-01,0.48,0.5
6.190440e-01,0.46,0.44
6.190442e-01,0.46,0.5
6.190443e-01,0.44,0.44
6.190445e-01,0.48,0.5
6.190446e-01,0.48,0.44
6.190448e-01,0.48,0.5
6.190450e-01,0.48,0.44
6.190451e-01,0.48,0.5
6.190453e-01,0.48,0.44
6.190454e-01,0.46,0.5
6.190456e-01,0.48,0.44
6.190458e-01,0.48,0.5
6.190459e-01,0.48,0.44
6.190461e-01,0.48,0.48
6.190462e-01,0.46,0.44
6.190464e-01,0.46,0.5
6.190466e-01,0.46,0.44
6.190467e-01,0.46,0.5
6.190469e-01,0.48,0.44
6.190470e-01,0.44,0.5
6.190472e-01,0.46,0.44
6.190474e-01,0.46,0.5
6.190475e-01,0.46,0.44
6.190477e-01,0.46,0.5
6.190478e-01,0.48,0.44
6.190480e-01,0.48,0.5
6.190482e-01,0.46,0.44
6.190483e-01,0.46,0.5
6.190485e-01,0.46,0.44
6.190486e-01,0.48,0.5
6.190488e-01,0.46,0.44
6.190490e-01,0.46,0.5
6.190491e-01,0.48,0.44
6.190493e-01,0.46,0.5
6.190494e-01,0.46,0.44
6.190496e-01,0.46,0.48
6.190498e-01,0.46,0.44
6.190499e-01,0.48,0.48
6.190501e-01,0.46,0.44
6.190502e-01,0.48,0.5
6.190504e-01,0.46,0.44
6.190506e-01,0.46,0.5
6.190507e-01,0.46,0.46
6.190509e-01,0.46,0.5
6.190510e-01,0.46,0.44
6.190512e-01,0.48,0.5
6.190514e-01,0.46,0.44
6.190515e-01,0.48,0.5
6.190517e-01,0.46,0.44
6.190518e-01,0.46,0.5
6.190520e-01,0.48,0.44
6.190522e-01,0.46,0.5
6.190523e-01,0.48,0.44
6.190525e-01,0.46,0.5
6.190526e-01,0.46,0.44
6.190528e-01,0.46,0.5
6.190530e-01,0.46,0.44
6.190531e-01,0.48,0.5
6.190533e-01,0.48,0.44
6.190534e-01,0.46,0.5
6.190536e-01,0.48,0.44
